term,category,meaning,register,emotion,use_when,respelling_en,ipa_phonemic,ipa_phonetic,jp_kana,origin,language,pitch_semitones,pace_wpm,energy,breathiness,intonation,voice_style_tags,triggers_regex
handcam,VTuber,IRL hands on cam,comfy,calm,crafts|asmr,,,,,community slang,auto,0,155,0.5,0.25,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bhandcam\b
lewds,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\blewds\b
boop,Interjection,nose tap,cute,fond,affection,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bboop\b
tech,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btech\b
hydrate pls,Phrase,care reminder,wholesome,caring,reminder,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bhydrate\ pls\b
thirst,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bthirst\b
timeout,VTuber,temporary mute,neutral,firm,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btimeout\b
BRB,GenZ,be right back,neutral,calm,status,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bBRB\b
handcam craft,VTuber,IRL craft stream,comfy,calm,crafts,,,,,community slang,auto,0,155,0.5,0.25,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bhandcam\ craft\b
TTYL,GenZ,talk to you later,neutral,calm,farewell,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bTTYL\b
ara ara,AnimeJP,flirty 'oh my',flirty,smug,tease,AH-rah AH-rah,,,,community slang,ja,0,170,0.6,0.2,fall-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bara\ ara\b
cozy,GenZ,warm comfy vibe,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcozy\b
gank,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgank\b
FeelsStrongMan,TwitchEmote,proud/strong,wholesome,proud,victory,,,,,community slang,auto,1,185,0.75,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bFeelsStrongMan\b
🔒,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🔒
🐾,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🐾
skill issue,GenZ,tease incompetence,edgy,teasing,banter,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bskill\ issue\b
alt,GenZ,alternative style,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\balt\b
comfy,GenZ,cozy vibe,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcomfy\b
yume,AnimeJP,dream,wholesome,hopeful,,,,,,community slang,ja,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\byume\b
GLHF,GenZ,good luck have fun,wholesome,cheer,greet,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bGLHF\b
smh,GenZ,shaking my head,deadpan,disapproval,disappoint,,,,,community slang,auto,-2,170,0.6,0.1,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsmh\b
canon,GenZ,official storyline,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcanon\b
lore,VTuber,character backstory,playful,fond,intro,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\blore\b
gomen,AnimeJP,sorry (casual),wholesome,apology,apology,go-MEN,,,,community slang,ja,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgomen\b
rigger,VTuber,Live2D animator,neutral,calm,credits,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\brigger\b
macro,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmacro\b
nom,Interjection,small bite sound,cute,playful,tease,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bnom\b
idc,GenZ,I don’t care,edgy,dismissive,banter,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bidc\b
zatsu / zatsudan,VTuber,free talk stream,comfy,calm,chatting,,,,,community slang,auto,0,155,0.5,0.25,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\b(zatsu|zatsudan)\b
ikr,GenZ,"I know, right",,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bikr\b
red flag,GenZ,warning trait,edgy,concern,dating,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bred\ flag\b
serve,GenZ,deliver fierce look,hype,proud,fashion,,,,,community slang,auto,2,185,0.75,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bserve\b
gyatt,GenZ,exclamation of attraction,edgy,surprise,thirst_joke,,,,,community slang,auto,-1,200,0.9,0.15,peaky-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgyatt\b
tbf,GenZ,to be fair,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btbf\b
camp,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcamp\b
sweaty,GenZ,tryhard play,edgy,tense,gaming,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsweaty\b
king behavior,GenZ,confident excellence,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bking\ behavior\b
imo,GenZ,in my opinion,neutral,calm,preface,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bimo\b
AFK,GenZ,away from keyboard,neutral,calm,status,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bAFK\b
💞,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,💞
WeirdChamp,TwitchEmote,disapproval,edgy,disgust,cringe,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bWeirdChamp\b
😔,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😔
rofl,GenZ,rolling on the floor laughing,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\brofl\b
💗,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,💗
lag,GenZ,network delay,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\blag\b
subathon,VTuber,long stream fueled by subs,hype,tense,,,,,,community slang,auto,2,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsubathon\b
daisuki,AnimeJP,love so much,wholesome,tender,,,,,,community slang,ja,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdaisuki\b
sweatlord,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsweatlord\b
papa,VTuber,vtuber/community term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bpapa\b
😤,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😤
glow up,GenZ,improve looks/style,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bglow\ up\b
🫠,Emoji/Kaomoji,melting embarrassment,cute,flustered,oops,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🫠
monkaW,TwitchEmote,wide-eyed panic,edgy,panic,danger,,,,,community slang,auto,-1,210,0.95,0.15,steep-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmonkaW\b
nerd snipe,GenZ,tempt w/ puzzle,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bnerd\ snipe\b
nerf,GenZ,weaken in patch,neutral,calm,gaming,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bnerf\b
ship,GenZ,pair romantically,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bship\b
yummy,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\byummy\b
IRL,GenZ,in real life,neutral,calm,context,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bIRL\b
dokidoki,AnimeJP,heart beating,cute,nervous,,,,,,community slang,ja,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdokidoki\b
poggers,TwitchEmote,twitch chat emote,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bpoggers\b
king,GenZ,praise address,hype,proud,,,,,,community slang,auto,2,185,0.75,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bking\b
uso,AnimeJP,lie!,edgy,surprise,,,,,,community slang,ja,-1,200,0.9,0.15,peaky-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\buso\b
asmr,VTuber,soft audio ear pampering,wholesome,calm,comfort,,,,,community slang,auto,1,155,0.5,0.25,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\basmr\b
nerd snipe,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bnerd\ snipe\b
reset,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\breset\b
derank,GenZ,drop in rank,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bderank\b
doko?,VTuber,where? (bit/meme),playful,confusion,lost,,,,,community slang,ja,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,doko\?
vibe check,GenZ,assess mood/energy,playful,curious,banter,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bvibe\ check\b
gg go next,GenZ,accept loss and continue,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgg\ go\ next\b
cutie,GenZ,sweet nickname,cute,fond,,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcutie\b
rizzler,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\brizzler\b
W,GenZ,win/good,hype,joy,approval,,,,,community slang,auto,2,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bW\b
yabai / yabe,AnimeJP,oh no/too spicy/crazy,edgy,alarm,oops|tease,yah-BAI / yah-BEH,,,,community slang,ja,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\b(yabai|yabe)\b
collab,VTuber,joint stream/event,hype,joy,,,,,,community slang,auto,2,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcollab\b
tl;dr,GenZ,too long; didn’t read,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,tl;dr
OMEGALUL,TwitchEmote,huge laugh,playful,joy,laugh,,,,,community slang,auto,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bOMEGALUL\b
mother,GenZ,iconic woman praise,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmother\b
👏,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,👏
baka,AnimeJP,silly idiot (playful),teasing,teasing,,,,,,community slang,ja,1,170,0.6,0.35,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbaka\b
go men gomen,VTuber,comedic over-apology,wholesome,apology,oops,,,,,community slang,ja,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgo\ men\ gomen\b
kuudere,AnimeJP,"calm, stoic sweet",deadpan,calm,composure,KOO-deh-reh,,,,community slang,ja,-2,155,0.5,0.1,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bkuudere\b
i'm baby,GenZ,want comfort/cute,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,i'm\ baby
spicy,GenZ,edgy a little NSFW,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bspicy\b
AYAYA,TwitchEmote,anime squeal happy,cute,joy,greet|hype,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bAYAYA\b
PauseChamp,TwitchEmote,anticipation,hype,tense,build_up,,,,,community slang,auto,2,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bPauseChamp\b
debut,VTuber,first stream reveal,hype,joy,milestone,,,,,community slang,auto,2,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdebut\b
PepeHands,TwitchEmote,crying sympathy,wholesome,sad,comfort,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bPepeHands\b
hmph,Interjection,pout/small upset,cute,pouty,banter,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bhmph\b
soft launch,GenZ,subtle reveal,playful,fond,sns,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsoft\ launch\b
tasukete,AnimeJP,help me,playful,dramatic,,,,,,community slang,ja,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btasukete\b
💅,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,💅
┐(￣ヘ￣)┌,Emoji/Kaomoji,shrug smug,deadpan,meh,shrug,,,,,community slang,auto,-2,170,0.6,0.1,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,┐\(￣ヘ￣\)┌
bet,GenZ,agreement/ok,neutral,calm,agree,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbet\b
hontou,AnimeJP,really?,neutral,curious,,,,,,community slang,ja,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bhontou\b
superchat,VTuber,vtuber/community term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsuperchat\b
yatta,AnimeJP,I/we did it!,hype,joy,victory,yah-TAH,,,,community slang,ja,2,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\byatta\b
say less,GenZ,I understand/okay,neutral,calm,agree,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsay\ less\b
flex,GenZ,show off,edgy,smug,boast,,,,,community slang,auto,-1,170,0.6,0.15,fall-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bflex\b
headcanon,GenZ,personal theory,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bheadcanon\b
spawn,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bspawn\b
bot,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbot\b
comfort character,GenZ,character you rely on,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcomfort\ character\b
