term,category,type,meaning,usage_context,emotion,tone,pronunciation,intensity,formality,example,variants
ara ara,Waifu-style,phrase,"Playful/teasing 'oh my', flirtatious expression","Teasing someone, acting mature and flirty","teasing, flirtatious, amused","lower, sultry, playful",ah-rah ah-rah,medium-high,casual,Ara ara~ What do we have here?,"ara~, ara ara~"
senpai,Waifu-style,honorific,"Admired/older figure, used to flatter",Addressing someone you admire or look up to,"admiring, respectful, flirty","soft, respectful, sometimes longing",sen-pai,medium,semi-formal,"Senpai, notice me please!","senpaii, sen-pai~"
kouhai,Waifu-style,honorific,Younger/lesser counterpart in roleplay,Referring to someone younger or junior to you,"protective, caring, playful","warm, slightly teasing",koh-hai,low-medium,semi-formal,My precious kouhai needs help~,kohai
waifu,Waifu-style,noun,"Affectionate fictional beloved, anime wife",Referring to a favorite character or partner,"affectionate, devoted, loving","warm, loving",why-foo,medium-high,casual,You're my favorite waifu!,"mai waifu, my waifu"
ganbatte,Waifu-style,phrase,"Do your best, encouragement, cute cheer","Encouraging someone, cheering them on","supportive, encouraging, caring","energetic, warm, uplifting",gan-baht-teh,medium-high,casual,"Ganbatte! I believe in you!","ganbare, gambatte"
desu,Waifu-style,particle,Soft sentence ending used for cuteness,Adding cuteness to end of sentences,"cute, polite, playful","soft, bouncy",dess,low,semi-formal,This is cute desu~,"des, desu~"
sugoi,Waifu-style,exclamation,"Wow/amazing, expressing awe",Being impressed or amazed by something,"amazed, impressed, excited","excited, breathless",soo-goy,medium-high,casual,"Sugoi! That's incredible!","sugoii, sugee"
kawaii,Waifu-style,adjective,Cute/adorable,Describing something as cute,"delighted, fond, happy","sweet, high-pitched",kah-wah-ee,medium,casual,That plushie is so kawaii!,"kawai, kawaiiii"
moe,Waifu-style,adjective,"Cute/vulnerable charm, endearing",Describing cute/endearing characteristics,"fond, protective, charmed","soft, affectionate",moh-eh,medium,casual,That shy smile is so moe!,moee
baka,E-girl,slang,"Silly/idiot, playful insult",Playfully calling someone silly or dumb,"playfully annoyed, teasing, affectionate","tsundere, exasperated",bah-kah,medium,casual,"Baka! You weren't supposed to do that!","bakaa, b-baka"
kek,E-girl,slang,"Laugh/snicker, chat shorthand for lol",Laughing at something funny online,"amused, laughing",casual laugh,keck,low-medium,very casual,"Kek, that's hilarious!","kekw, kekcake"
oof,E-girl,slang,Sympathetic reaction to mistake/hurt,Reacting to someone's misfortune or pain,"sympathetic, empathetic, slight amusement","soft, empathetic",oof,medium,casual,"Oof, that must hurt!","ooof, big oof"
pog,E-girl,slang,"Hype/excitement, something amazing happened",Expressing excitement about something cool,"excited, hyped, impressed","energetic, excited",pahg,high,very casual,That play was so pog!,"poggers, pogchamp, poggies"
poggers,E-girl,slang,"Very excited, hype for clip-worthy moment","Extreme excitement, amazing moment","very excited, hyped","very energetic, loud",pah-gurz,very high,very casual,"Poggers! That was insane!","pog, pogchamp"
vibe check,E-girl,phrase,Assessing mood/energy of person or situation,Checking someone's mood or the atmosphere,"curious, assessing, playful","casual, questioning",vibe check,medium,casual,"Vibe check! How you feeling today?","vibes, vibe"
main character energy,Gen-Z,phrase,"Dramatic/confident mood, acting like protagonist",Describing someone acting confident and central,"confident, dramatic, bold","confident, dramatic",main character energy,high,casual,Walking in with that main character energy!,"MC energy, main character moment"
drip,Gen-Z,slang,"Stylish outfit, great fashion sense",Complimenting someone's outfit or style,"impressed, admiring","cool, approving",drip,medium-high,casual,Your drip is insane today!,"dripping, got that drip"
fit,Gen-Z,slang,"Outfit, clothing ensemble",Referring to someone's outfit,"neutral, appreciative","casual, friendly",fit,low-medium,casual,Love your fit!,"fitcheck, the fit"
stan,Gen-Z,verb/noun,"Intense fan support, being a devoted fan",Expressing strong support for something/someone,"devoted, passionate, supportive","enthusiastic, passionate",stan,high,casual,I stan this content so hard!,"stanning, stans"
simp,Gen-Z,noun/verb,"Overly doting admirer, doing too much for crush",Teasing someone for being too devoted,"teasing, playful mockery","teasing, mocking but playful",simp,medium,casual,Stop simping and just talk to them!,"simping, simpery"
sus,Gen-Z,slang,"Suspicious, questionable behavior",Pointing out something suspicious,"suspicious, questioning","questioning, skeptical",suss,medium,casual,"That's kinda sus not gonna lie...","sussy, suspicious"
cancelled,Gen-Z,slang,"Socially rejected, blocked, done with someone",Declaring someone is rejected or done,"disapproving, final, dramatic","dramatic, final",can-sulled,high,casual,"After that comment? You're cancelled!","canceled, cancel"
flex,Gen-Z,verb/noun,"Show off, display something impressive",Showing off an achievement or possession,"proud, boastful, confident","confident, proud",flecks,medium-high,casual,"Not to flex, but I got an A+!","flexing, weird flex"
lowkey,Gen-Z,adverb,"Quietly, subtly, somewhat",Expressing something in a subtle way,"casual, understated","casual, relaxed",low-key,low,casual,I'm lowkey obsessed with this song,"low-key, low key"
highkey,Gen-Z,adverb,"Openly, obviously, very much",Emphasizing something strongly,"emphatic, open","emphatic, loud",high-key,high,casual,I highkey love this game!,"high-key, high key"
mood,Gen-Z,slang,"Relatable feeling/state, big same",Expressing strong relatability,"relatable, understanding","agreeable, emphatic",mood,medium,casual,Wanting to stay in bed all day? Mood.,"big mood, whole mood"
slay,Gen-Z,verb/exclamation,"Doing something extremely well, killing it",Praising someone's performance or look,"impressed, supportive, excited","enthusiastic, supportive",slay,high,casual,You absolutely slayed that presentation!,"slaying, slayed"
ate,Gen-Z,slang,"Did something flawlessly, left no crumbs",Complimenting perfect execution,"impressed, amazed","excited, approving",ate,high,casual,She ate and left no crumbs!,"ate that, eating"
bussin,Gen-Z,slang,"Excellent, delicious, really good","Describing something as amazing, often food","delighted, satisfied","enthusiastic, satisfied",bus-in,high,casual,This food is bussin bussin!,"bussin', bussin bussin"
bet,Gen-Z,slang,"Agreement, okay, sounds good",Agreeing to something or confirming,"agreeable, confident","casual, confident",bet,medium,casual,Wanna hang out later? Bet!,bett
no cap,Gen-Z,phrase,"No lie, for real, being honest",Emphasizing truthfulness,"serious, honest","serious, emphatic",no cap,medium-high,casual,"That's the best movie ever, no cap!","fr no cap, on god no cap"
fr,Gen-Z,acronym,"For real, seriously",Emphasizing seriousness or agreement,"serious, agreeing","emphatic, serious",eff-arr or for real,medium,casual,That test was hard fr,"for real, frfr"
rizz,Gen-Z,slang,"Charisma, charm, ability to attract",Describing someone's charm or flirting ability,"impressed, admiring","cool, impressed",rizz,medium-high,casual,He's got so much rizz!,"rizzler, rizzing"
akasupa,VTuber,noun,"Red superchat, expensive donation",Referring to large donations in streams,"excited, grateful","excited, appreciative",ah-kah-soo-pah,high,casual,Thank you for the akasupa!,"aka supa, red supa"
dono,VTuber,noun,"Donation, someone who donates",Thanking donors or referring to donations,"grateful, appreciative","warm, thankful",doh-noh,medium,casual,Thanks for the dono!,"dono-sama, donos"
oshi,VTuber,noun,"Favorite VTuber, devoted fan term",Referring to your favorite content creator,"devoted, loving, passionate","warm, devoted",oh-shee,high,casual,She's my oshi!,kamioshi
boing boing,VTuber,phrase,Bouncy avatar/jiggly physics joke,Playfully referring to avatar physics,"playful, cheeky, amused","playful, teasing",boing boing,medium,casual,My model has the boing boing!,boing-boing
yab,VTuber,slang,"Yabai, dangerous/risky/controversial moment",Reacting to something risky or edgy,"shocked, nervous, amused","nervous, excited",yab,high,casual,"That was yab, be careful!","yabai, yabe"
teetee,VTuber,slang,"Precious, endearing interactions between VTubers",Describing wholesome moments,"touched, warm, happy","soft, warm, emotional",tee-tee,medium,casual,Their friendship is so teetee!,てぇてぇ
gachikoi,VTuber,noun,Hardcore fan who is 'in love' with VTuber,Describing devoted fans,"devoted, passionate, intense","serious, devoted",gah-chee-koy,very high,casual,The gachikoi always show up!,gachi
gosling,VTuber,noun,Fan who is melancholy/depressed over VTuber,Self-deprecating humor about parasocial feelings,"melancholy, yearning, ironic","sad, ironic, self-aware",goss-ling,medium-high,casual,I'm such a gosling for her...,gosling mode
GFE,VTuber,acronym,"Girlfriend Experience, acting like girlfriend",Describing parasocial relationship content,"affectionate, intimate, playful","soft, intimate, caring",gee-eff-ee or girlfriend experience,high,casual,This stream has big GFE energy,"BFE, girlfriend experience"
delulu,Gen-Z,slang,"Delusional, unrealistic thinking",Calling out unrealistic expectations,"amused, skeptical, teasing","teasing, skeptical",deh-loo-loo,medium,casual,You're being so delulu right now!,"delusional, delulu is the solulu"
cheugy,Gen-Z,slang,"Basic, out of date, trying too hard",Describing something uncool or dated,"judgmental, dismissive","dismissive, critical",choo-ghee,medium,casual,That decor is so cheugy,cheugs
cringe,Gen-Z,slang,"Embarrassing, uncomfortable to watch",Reacting to something awkward,"embarrassed, uncomfortable","uncomfortable, judgmental",crindge,medium-high,casual,That was so cringe...,"cringey, cringy"
based,Gen-Z,slang,"Agreeable opinion, grounded in facts",Agreeing with a controversial opinion,"agreeing, impressed","approving, confident",baysd,medium-high,casual,Your take is so based!,based af
ratio,Gen-Z,verb/noun,Getting more engagement than original post,Trying to get more likes than someone,"competitive, challenging","competitive, smug",ray-shee-oh,medium-high,casual,Ratio + you fell off,"ratio'd, get ratio'd"
touch grass,Gen-Z,phrase,"Go outside, spend less time online",Telling someone to get offline,"concerned, mocking","mocking, concerned",touch grass,medium,casual,You need to touch grass fr,"grass toucher, touching grass"
rent free,Gen-Z,phrase,"Living in someone's head, can't stop thinking about",Something that won't leave your mind,"obsessed, fixated","casual, matter-of-fact",rent free,medium,casual,That song lives rent free in my head,living rent free
unhinged,Gen-Z,slang,"Wild, chaotic, unpredictable behavior",Describing chaotic or wild actions,"amused, shocked, entertained","amused, energetic",un-hinged,high,casual,Your energy is so unhinged today!,absolutely unhinged
down bad,Gen-Z,phrase,Desperately wanting romantic attention,Being desperate for affection,"desperate, yearning","self-deprecating, desperate",down bad,high,casual,I'm so down bad for them...,astronomically down bad
shook,Gen-Z,slang,"Shocked, surprised, shaken",Expressing being shocked or surprised,"shocked, surprised","shocked, breathless",shook,high,casual,I'm literally shook right now!,shooketh
hits different,Gen-Z,phrase,Better than usual due to circumstances,Something feels better in specific context,"satisfied, nostalgic","reflective, satisfied",hits different,medium,casual,This song hits different at night,hit different
it's giving,Gen-Z,phrase,"It's giving off vibes of, reminds me of",Describing what vibes something gives,"observant, analytical","casual, analytical",its giving,medium,casual,"This outfit? It's giving main character","giving, its giving..."
understood the assignment,Gen-Z,phrase,Did exactly what was needed perfectly,Praising perfect execution of task,"impressed, approving","approving, impressed",understood the assignment,high,casual,She understood the assignment!,understand the assignment
say less,Gen-Z,phrase,"I understand, say no more, I'm in",Enthusiastically agreeing to plans,"enthusiastic, understanding","confident, enthusiastic",say less,medium,casual,Pizza tonight? Say less!,say no more
W,Gen-Z,slang,"Win, something good happened",Celebrating a win or good thing,"happy, victorious","celebratory, happy",double-you or dub,medium-high,casual,Getting an A on that test? Huge W!,"dub, big W"
L,Gen-Z,slang,"Loss, something bad happened",Acknowledging a loss or failure,"disappointed, defeated","disappointed, resigned",ell,medium,casual,Missing that concert was a massive L,"big L, took the L"
NPC,Gen-Z,slang,"Non-playable character, someone with no personality",Calling someone bland or unoriginal,"dismissive, mocking","mocking, dismissive",en-pee-see,medium-high,casual,Why are you acting like an NPC?,"NPC behavior, NPC energy"
sigma,Gen-Z,slang,"Lone wolf type, independent male archetype",Describing independent confident person,"confident, cool","confident, mysterious",sig-muh,medium,casual,He's got that sigma energy,"sigma male, sigma grindset"
alpha,Gen-Z,slang,"Dominant, powerful, top of hierarchy",Describing dominant personality,"dominant, confident","confident, assertive",al-fuh,high,casual,She has total alpha energy,"alpha male, alpha female"
pick me,Gen-Z,slang,Someone seeking validation/attention constantly,Criticizing attention-seeking behavior,"annoyed, judgmental","judgmental, dismissive",pick me,medium-high,casual,Stop being such a pick me,"pick me girl, pick me energy"
the ick,Gen-Z,phrase,Sudden feeling of disgust toward someone,Describing sudden turn-off,"disgusted, repulsed","disgusted, dramatic",the ick,high,casual,He gave me the ick when he did that,"got the ick, ick factor"
brat,Gen-Z,slang,"Confident, rebellious, party girl aesthetic",Describing chaotic confident energy,"confident, rebellious, fun","confident, edgy",brat,high,casual,Living my brat summer!,"brat summer, bratty"
brain rot,Gen-Z,phrase,Mental decline from too much internet,Describing effects of too much online time,"self-aware, concerned","self-deprecating, tired",brain rot,medium,casual,I have brain rot from scrolling all day,rotted brain
aura,Gen-Z,slang,Vibe or energy someone gives off,Describing someone's energy or presence,"observant, impressed","mystical, cool",or-uh,medium,casual,You have immaculate aura today!,"+100 aura, -aura"
cooked,Gen-Z,slang,"Exhausted, in trouble, screwed",Describing being tired or in bad situation,"exhausted, worried","tired, stressed",cooked,high,casual,"I forgot to study, I'm cooked...","we're cooked, absolutely cooked"
let him cook,Gen-Z,phrase,Let them work without interference,Telling others to let someone do their thing,"patient, supportive","calm, supportive",let him cook,"Wait, let him cook, this might be good!","let her cook, let them cook"
lock in,Gen-Z,phrase,Focus intensely on task,Getting serious about work,"determined, focused","serious, determined",lock in,high,casual,Time to lock in and study!,"locked in, locking in"
ate and left no crumbs,Gen-Z,phrase,Did something absolutely perfectly,Praising flawless execution,"impressed, amazed","enthusiastic, impressed",ate and left no crumbs,very high,casual,Her performance ate and left no crumbs!,"left no crumbs, ate"
slaps,Gen-Z,slang,"Really good, especially music",Describing something as excellent,"excited, satisfied","energetic, approving",slaps,high,casual,This song absolutely slaps!,"slap, slapping"
valid,Gen-Z,slang,"Acceptable, understandable, justified",Validating someone's feelings or actions,"supportive, understanding","supportive, affirming",val-id,medium,casual,Your feelings are totally valid,so valid
canon event,Gen-Z,phrase,Moment that shapes your life/personality,Describing important life moments,"reflective, accepting","serious, reflective",canon event,medium-high,casual,Getting your heart broken is a canon event,canon
era,Gen-Z,slang,Period in life with specific focus/aesthetic,Describing life phases,"reflective, confident","confident, descriptive",era,medium,casual,I'm in my villain era right now,"my era, that era"
periodt,Gen-Z,exclamation,"End of discussion, emphasizing point",Ending statement with finality,"confident, final","emphatic, final",peer-ee-odd-tuh,high,casual,"She's the best, periodt!","period, purr"
purr,Gen-Z,exclamation,Expression of satisfaction or agreement,Expressing satisfaction or approval,"satisfied, pleased","smooth, satisfied",purr,medium,casual,New outfit? Purr!,purrr
serving,Gen-Z,slang,"Looking amazing, giving great vibes",Complimenting someone's look or energy,"impressed, admiring","enthusiastic, admiring",serving,high,casual,You're serving looks today!,"serve, served"
mother,Gen-Z,slang,"Someone iconic, serving excellence",Praising someone as iconic,"reverent, admiring","reverent, awed",mother,very high,casual,She is mother!,she is mother
iykyk,Gen-Z,acronym,"If you know you know, insider knowledge",Referencing inside jokes or knowledge,"knowing, exclusive","mysterious, knowing",if you know you know,medium,casual,"That reference... iykyk",if you know you know
smol,Cutesy,slang,"Small and cute, tiny and adorable",Describing something cute and tiny,"affectionate, adoring","soft, affectionate",smol,low-medium,casual,Look at this smol kitten!,"smoll, so smol"
chonky,Cutesy,slang,"Chunky and cute, pleasantly chubby",Describing cute chubby animals/things,"affectionate, amused","playful, affectionate",chonk-ee,medium,casual,What a chonky cat!,"chonk, chonker"
boop,Cutesy,vocalization,"Gentle tap, usually on nose",Being playfully affectionate,"playful, affectionate","soft, playful",boop,low,casual,*boop* Got your nose!,"boops, booped"
pookie,Cutesy,term-of-endearment,Term of endearment for loved one,Affectionately addressing someone,"loving, affectionate","sweet, loving",poo-kee,medium,intimate,"Hi pookie! Miss you!",pooks
bestie,Gen-Z,noun,"Best friend, close friend",Referring to close friend,"friendly, warm","warm, friendly",best-ee,medium,casual,Love you bestie!,"besti, besties"
bbg,Gen-Z,acronym,"Baby girl, term of endearment",Affectionately addressing someone,"affectionate, playful","flirty, affectionate",baby girl or bee-bee-gee,medium,casual,How are you doing bbg?,"baby girl, babygirl"
gassing up,Gen-Z,phrase,"Hyping someone up, complimenting",Encouraging and complimenting someone,"supportive, encouraging","enthusiastic, supportive",gassing up,high,casual,I'm always gassing up my friends!,"gas up, gassed up"
caught in 4K,Gen-Z,phrase,"Caught with clear evidence, red-handed",Calling out someone with proof,"accusatory, amused","gotcha, amused",caught in four kay,high,casual,You're caught in 4K!,caught in 4K ultra HD
bet you won't,Gen-Z,phrase,Challenge to do something,Challenging someone,"challenging, playful","daring, playful",bet you wont,medium-high,casual,Bet you won't do it!,I bet you won't
do it for the plot,Gen-Z,phrase,Do something crazy for the story,Encouraging risky behavior,"encouraging, reckless","encouraging, mischievous",do it for the plot,high,casual,"Just text them! Do it for the plot!",for the plot
manifesting,Gen-Z,verb,Willing something into existence,Hoping for something to happen,"hopeful, determined","dreamy, hopeful",man-ih-fest-ing,medium,casual,Manifesting good grades!,"manifest, manifested"
gatekeep gaslight girlboss,Gen-Z,phrase,Ironic phrase about toxic femininity,Joking about toxic behaviors,"ironic, humorous","ironic, sarcastic",gatekeep gaslight girlboss,medium,casual,Living by gatekeep gaslight girlboss,gaslight gatekeep girlboss
side eye,Gen-Z,noun,Suspicious or judgmental look,Giving skeptical look,"suspicious, judgmental","skeptical, judgmental",side eye,medium,casual,She gave me the biggest side eye,"side-eye, giving side eye"
sending me,Gen-Z,phrase,Making you laugh extremely hard,Reacting to something hilarious,"amused, laughing",breathless from laughing,sending me,high,casual,This meme is sending me!,sent me
it's the _ for me,Gen-Z,phrase,Pointing out specific thing you notice,Highlighting specific detail,"observant, critical or praising","pointed, emphatic",its the blank for me,medium,casual,It's the confidence for me!,its the _ for me
not me,Gen-Z,phrase,Self-deprecating observation,Calling yourself out,"self-aware, embarrassed","self-deprecating, amused",not me,medium,casual,Not me forgetting my own birthday...,not me doing
living my best life,Gen-Z,phrase,Enjoying life to the fullest,Expressing happiness and contentment,"happy, content, confident","confident, joyful",living my best life,high,casual,"Just vibing, living my best life!",living their best life
that's cap,Gen-Z,phrase,"That's a lie, that's false",Calling out a lie,"skeptical, challenging","challenging, disbelieving",thats cap,medium-high,casual,You got an A? That's cap!,"cap, capping"
pressed,Gen-Z,slang,"Upset, bothered, annoyed",Describing being annoyed,"annoyed, upset","irritated, defensive",pressed,medium,casual,Why are you so pressed about it?,getting pressed
snatched,Gen-Z,slang,"Looking good, on point",Complimenting someone's appearance,"impressed, admiring","enthusiastic, admiring",snatched,high,casual,Your waist is snatched!,looking snatched
glow up,Gen-Z,noun/verb,Major positive transformation,Describing improvement in appearance/life,"impressed, proud","admiring, excited",glow up,high,casual,What a glow up!,"glowed up, glowing up"
vibing,Gen-Z,verb,"Chilling, enjoying the moment",Describing relaxed enjoyment,"relaxed, content","chill, relaxed",vibe-ing,low-medium,casual,Just vibing to this music,"vibe, vibes"
CEO of,Gen-Z,phrase,"Best at something, representative of",Claiming expertise in something,"confident, proud","confident, boastful",cee-ee-oh of,medium-high,casual,I'm the CEO of procrastination,CEO
yeet,Gen-Z,exclamation/verb,"To throw with force, expression of excitement",Throwing something or expressing excitement,"excited, energetic, chaotic","loud, energetic",yeet,high,casual,Yeet! *throws something*,"yeeted, yeeting"
fam,Gen-Z,noun,"Family, close friends group",Referring to close friends,"friendly, warm","casual, warm",fam,medium,casual,What's up fam?,fammm
ship,Gen-Z,verb/noun,Support romantic pairing,Supporting relationship between two people,"supportive, excited","enthusiastic, supportive",ship,medium-high,casual,I ship them so hard!,"shipping, shipper"
tea,Gen-Z,slang,"Gossip, drama, news",Sharing or asking for gossip,"curious, gossipy","conspiratorial, excited",tea,medium-high,casual,Spill the tea!,"spill the tea, serving tea"
salty,Gen-Z,slang,"Bitter, upset about something",Describing someone bitter or upset,"bitter, annoyed","bitter, defensive",salt-ee,medium,casual,Don't be so salty about it,salty af
extra,Gen-Z,slang,"Over the top, dramatic, excessive",Describing excessive behavior,"amused, exasperated","dramatic, exaggerated",ex-truh,high,casual,Why are you being so extra?,being extra
Karen,Gen-Z,noun,Entitled person causing scene,Describing entitled behavior,"annoyed, mocking","mocking, exasperated",care-en,high,casual,She's being such a Karen,Ken
snack,Gen-Z,slang,Attractive person,Complimenting someone's attractiveness,"admiring, attracted","flirty, appreciative",snack,medium-high,casual,They're a whole snack!,"whole snack, looking like a snack"
thirsty,Gen-Z,slang,Desperate for attention/affection,Describing desperate behavior,"judgmental, amused","mocking, judgmental",thirst-ee,medium,casual,Stop being so thirsty,thirst trap
clout,Gen-Z,slang,"Influence, popularity, social capital",Referring to social influence,"envious, impressed","cool, matter-of-fact",klowt,medium,casual,They're doing it for the clout,clout chasing
ghosting,Gen-Z,verb,Suddenly cutting off communication,Describing communication cut-off,"hurt, confused","hurt, matter-of-fact",ghost-ing,high,casual,They're ghosting me...,"ghosted, ghost"
slides into DMs,Gen-Z,phrase,"Messaging someone privately, usually flirty",Describing private messaging,"flirty, sneaky","smooth, flirty",slides into dee-ems,medium,casual,He slid into my DMs,"slide into DMs, sliding"
receipts,Gen-Z,slang,"Evidence, proof of something",Showing proof of claims,"vindicated, confident","confident, triumphant",re-seats,high,casual,I have the receipts!,showing receipts
main,Gen-Z,noun,Primary account or person,Referring to main account,"neutral, casual",casual,main,low,casual,Follow my main!,main account
finsta,Gen-Z,noun,Fake/private Instagram for close friends,Referring to private social account,"casual, intimate","casual, secretive",fin-stuh,medium,casual,Check my finsta for the real content,rinsta
GOAT,Gen-Z,acronym,Greatest of all time,Praising someone as the best,"admiring, reverent","awed, respectful",goat,very high,casual,She's the GOAT!,"the goat, goated"
hits,Gen-Z,slang,"Something good, impactful",Describing something impactful,"satisfied, impressed","satisfied, appreciative",hits,medium-high,casual,This song hits!,that hits
mid,Gen-Z,slang,"Mediocre, average, not impressive",Describing something as average,"disappointed, unimpressed","dismissive, unimpressed",mid,medium,casual,That movie was mid honestly,so mid
fire,Gen-Z,slang,"Excellent, amazing, hot",Describing something as great,"excited, impressed","enthusiastic, hyped",fire,high,casual,This outfit is fire!,"🔥, straight fire"
lit,Gen-Z,slang,"Exciting, excellent, fun",Describing something exciting,"excited, hyped","energetic, excited",lit,high,casual,This party is lit!,so lit
dope,Gen-Z,slang,"Cool, awesome, great",Describing something as cool,"impressed, approving","cool, laid-back",dope,medium-high,casual,That's so dope!,dope af
sick,Gen-Z,slang,"Cool, awesome, impressive",Expressing admiration,"impressed, excited","excited, impressed",sick,high,casual,That trick was sick!,so sick
lowkey/highkey,Gen-Z,phrase,Quiet/open acknowledgment scale,Expressing degree of feeling,various,"casual, honest",low-key high-key,variable,casual,"Lowkey tired, highkey need sleep","lowkey, highkey"
slept on,Gen-Z,phrase,"Underrated, overlooked",Pointing out underappreciated things,"frustrated, passionate","passionate, frustrated",slept on,medium,casual,This artist is so slept on!,sleeping on
hits the spot,Gen-Z,phrase,Perfectly satisfying,Describing perfect satisfaction,"satisfied, content","satisfied, relaxed",hits the spot,medium,casual,This coffee hits the spot!,hit the spot
bet up,Gen-Z,phrase,More enthusiastic agreement,Enthusiastically agreeing,"excited, agreeing","enthusiastic, confident",bet up,high,casual,Bet up! Let's do it!,"bet, bettt"
on god,Gen-Z,phrase,"Swearing truthfulness, for real",Emphasizing honesty,"serious, honest","serious, emphatic",on god,high,casual,"That's true, on god!",ong
no shot,Gen-Z,phrase,"No way, impossible, disbelief",Expressing disbelief,"shocked, disbelieving","shocked, emphatic",no shot,high,casual,No shot that happened!,no way
cursed,Gen-Z,slang,"Weird, disturbing, wrong",Describing something unsettling,"disturbed, uncomfortable","uncomfortable, weirded-out",cursed,medium-high,casual,This image is cursed,cursed content
blessed,Gen-Z,slang,"Pure, wholesome, good",Describing wholesome content,"happy, content, peaceful","warm, peaceful",blessed,medium,casual,This content is blessed,blessed content
sheesh,Gen-Z,exclamation,Expression of amazement or disbelief,Reacting to something impressive,"amazed, impressed","drawn-out, impressed",sheesh,high,casual,"Sheesh! That was incredible!",sheeesh
no cap fr fr,Gen-Z,phrase,"Absolute truth, no lies at all",Strongly emphasizing truth,"serious, emphatic","very emphatic, serious",no cap for real for real,very high,casual,"That's the best game ever, no cap fr fr","fr fr, no cap frfr"
bussin fr,Gen-Z,phrase,"Really excellent, truly amazing",Emphasizing how good something is,"very satisfied, excited","enthusiastic, emphatic",bussin for real,very high,casual,This food bussin fr!,bussin fr fr
